"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"lebih baik menerangkan dipapan tulis saja, tak usah mengunakan PPT agar lebih jelas dan paham","54813","353","90002234","20162","3","3","2","2","3","1","2","2","2","3","289"
"saat menejelaskan contoh soal diharapkan untuk menjelaskna secara rinci agar hamasiswanya mudah memahami","54814","353","90002234","20162","3","3","2","2","3","1","2","1","2","3","289"
"lebih baik menejelaskan dengan cara menjabarkan soal dipapan tulis, jangan hanya mengunakan slide. karena ini matematika perhitungan bukan teori","54815","353","90002234","20162","3","3","1","3","3","2","2","2","2","3","289"
"mohon saat menjelaskan materi mohon ditulis dipapan tulis karena klo hanya dari slide saja bikin pusing dan materi tidak masuk","54817","353","90002234","20162","3","3","2","2","3","2","3","2","2","3","289"
"saat menjelaskan suara kurang keras","54818","179","90002015","20162","4","4","3","4","4","2","3","3","4","4","289"
"mohon saat memberikan penjelasan, lebih jelas lagi dan soal - soal ujian jangan terlalu sulit","54819","179","90002015","20162","3","4","4","4","4","3","4","4","4","4","289"
"mantap jiwa","54820","179","90002015","20162","4","4","4","4","4","4","4","4","4","4","289"
"tingkatkan lagi","54821","179","90002015","20162","4","4","4","4","4","4","4","4","4","4","289"
"Perbanyak Games lagi","54885","327","90002005","20162","3","3","3","3","3","3","3","3","3","3","311"
"Oke bapaknya","54889","327","90002005","20162","4","4","4","4","4","4","4","4","4","4","311"
"Bapak yang terbaik","54890","327","90002005","20162","4","4","4","4","4","4","4","4","4","4","311"
"Semangat terus Bapak","54894","327","90002005","20162","3","3","3","3","3","3","3","3","3","3","311"
"Sip Pak","54896","327","90002005","20162","4","4","4","4","4","4","4","4","4","4","311"
"Tambah sabar dan istiqomah tetap semangat","54908","327","90002005","20162","4","4","4","4","4","4","4","4","4","4","311"
"OK Pak","54916","327","90002005","20162","3","3","3","3","3","3","3","3","3","3","311"
"oke sip bapak semangat mengajarnya","54919","327","90002005","20162","4","3","3","3","3","3","3","3","3","3","311"
"semoga lulus semua makul  APPL ini ","54938","135","90001862","20162","4","4","4","4","4","4","4","4","4","4","195"
"Lanjutkan","54939","144","90001847","20162","3","3","3","4","3","3","4","3","4","3","311"
"Ganti ganti Dosen tidak efektif dalam pembelajaran","54972","135","90001862","20162","3","3","3","3","3","3","3","3","3","3","195"
"Dosen gontaiganti gak enak ","54974","135","90001862","20162","3","4","3","4","3","3","4","4","3","4","195"
"Sering gonta ganti dosen jadi susah 1 matkul diampu 4 Dosen","54977","135","90001862","20162","4","3","3","4","4","2","3","3","3","4","195"
